,nama_band,genre,nama_album,tipe,tgl_rilis,judul_lagu,track_popularity,durasi,energy,danceability,tempo,instrumentalness,loudness,speech,liveness,valence
0,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Menari Resah,37,194358,0.774,0.36,155.003,0.706,-7.039,0.0371,0.42,0.453
1,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Bersandarlah,47,260000,0.835,0.412,142.96,0.166,-6.537,0.0404,0.639,0.29
2,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Pulang,36,213507,0.731,0.438,122.963,0.524,-6.44,0.0404,0.126,0.407
3,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Sambutlah,45,301143,0.861,0.496,138.031,0.241,-6.767,0.0441,0.456,0.546
4,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Lautan Api,35,189016,0.766,0.489,164.912,0.0939,-6.636,0.0323,0.107,0.561
5,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Sebat Dulu,36,180952,0.679,0.598,119.99,0.682,-6.524,0.0334,0.142,0.526
6,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Ode Para Sisifus,34,161165,0.867,0.38,167.943,0.0668,-6.718,0.0441,0.189,0.6
7,The Jeblogs,['indonesian indie rock'],Sambutlah,album,2023-12-22,Track 8,42,528238,0.834,0.471,130.007,0.319,-5.452,0.0412,0.082,0.156
8,The Jeblogs,['indonesian indie rock'],Bersandarlah,single,2023-10-20,Bersandarlah,31,260000,0.835,0.412,142.96,0.166,-6.537,0.0404,0.639,0.29
9,The Jeblogs,['indonesian indie rock'],Atas Nama,single,2022-03-25,Atas Nama,41,238345,0.663,0.425,144.951,3.25e-06,-9.278,0.0273,0.42,0.469
10,The Jeblogs,['indonesian indie rock'],Bonjour,single,2020-12-25,Bonjour,30,260354,0.699,0.486,122.015,0.439,-11.31,0.0311,0.132,0.629
11,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Rangsang,23,217588,0.433,0.651,136.073,0.806,-10.309,0.0391,0.0997,0.148
12,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Elegi Tembok Tinggi,22,216496,0.958,0.326,164.881,0.165,-8.279,0.104,0.103,0.251
13,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Karbitan,25,90811,0.978,0.205,184.37,0.0236,-7.497,0.495,0.347,0.262
14,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Raya,38,260156,0.882,0.513,127.941,0.117,-9.242,0.055,0.136,0.445
15,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Orgasme Dengan Sepeda,32,148400,0.954,0.428,75.006,0.0256,-7.696,0.206,0.147,0.464
16,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Pentas Oposisi,26,183333,0.93,0.372,179.797,0.0726,-7.999,0.139,0.351,0.711
17,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Mati Saat Melukis,25,263036,0.515,0.677,118.474,2.38e-06,-7.812,0.0327,0.123,0.242
18,The Kick,['yogyakarta indie'],Rangsang,album,2023-07-04,Badai Di Selatan,24,322778,0.82,0.516,127.956,0.282,-9.179,0.103,0.118,0.51
19,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,Suburban Terror,20,196000,0.943,0.365,119.881,0.648,-2.116,0.0729,0.392,0.406
20,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,Tak Jelas,34,148691,0.93,0.34,184.022,0.0288,-5.687,0.0572,0.121,0.728
21,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,UFO,31,212559,0.943,0.47,148.009,0.000349,-6.951,0.0511,0.266,0.364
22,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,Liar,22,137103,0.963,0.328,181.982,5.65e-06,-4.912,0.297,0.114,0.549
23,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,Preman Pinggiran,20,126182,0.956,0.409,147.891,0.000788,-3.931,0.0763,0.0512,0.621
24,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,Mengudara,23,210464,0.96,0.397,158.001,0.363,-5.596,0.0432,0.301,0.685
25,The Kick,['yogyakarta indie'],Suburban Terror,album,2021-07-30,Terbakar Di Lampu Merah,30,241157,0.942,0.486,120.011,0.185,-6.588,0.0448,0.125,0.354
26,The Kick,['yogyakarta indie'],Renaisan,single,2024-07-26,Kendala Takdir,29,308550,0.775,0.502,134.975,0.371,-9.425,0.0264,0.528,0.809
27,The Kick,['yogyakarta indie'],Renaisan,single,2024-07-26,Terlahir Hari Ini,25,308940,0.85,0.416,155.143,0.0314,-9.166,0.0289,0.0947,0.899
28,The Kick,['yogyakarta indie'],UFO,single,2021-01-15,UFO,19,213264,0.872,0.381,148.008,0.00173,-6.107,0.042,0.273,0.36
29,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Teleportasi,30,139412,0.984,0.35,170.167,0.0349,-6.86,0.0888,0.289,0.127
30,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Disini Saja (Jangan Kemana Mana),38,255000,0.854,0.445,132.016,1.28e-05,-6.453,0.045,0.0803,0.351
31,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Absurd Tales,26,191147,0.987,0.311,161.887,0.000322,-5.775,0.103,0.0669,0.0665
32,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Ngeri Yang Ku Damba,28,213659,0.93,0.48,122.983,0.00109,-6.679,0.0932,0.334,0.255
33,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Berpaling Dari Cerita Yang Kemarin,30,261803,0.873,0.418,134.889,2.34e-05,-6.031,0.0441,0.0967,0.357
34,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Lampaui R P M,27,173600,0.893,0.23,75.184,0.00275,-6.332,0.0833,0.0683,0.425
35,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Tragedi Nyata,26,195931,0.972,0.494,144.989,0.0271,-5.71,0.0458,0.0858,0.374
36,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Roman Rafah 2024,25,228246,0.946,0.507,134.035,0.00204,-5.765,0.0487,0.113,0.23
37,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Megah Diterima (Acoustic Version),27,261120,0.654,0.623,134.938,1.35e-05,-7.706,0.0282,0.0942,0.456
38,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Seketika Sekarang Juga,album,2024-09-18,Ma Shouganai,25,140118,0.978,0.288,169.938,0.00137,-7.14,0.0965,0.0468,0.118
39,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Apapun Dilibas,21,52992,0.926,0.149,159.366,0.215,-7.282,0.172,0.161,0.547
40,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Kubikal Rock,11,71381,0.929,0.28,151.878,0.000131,-7.923,0.111,0.189,0.251
41,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Kebiri Paedophilia,17,39424,0.957,0.147,159.525,5.3e-05,-8.03,0.16,0.285,0.427
42,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Tak Punya Ketakutan,19,91657,0.747,0.232,161.423,0.0642,-8.681,0.0909,0.112,0.414
43,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Death Kitchen,16,90667,0.83,0.192,167.381,6.54e-06,-8.653,0.119,0.489,0.446
44,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Jam 3 Pagi Di Bundaran,10,83072,0.91,0.274,92.607,1.07e-05,-7.079,0.0652,0.544,0.25
45,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Metode Organik Rasakan Fase Embrionik Manusia (New Version),0,19925,0.846,0.371,158.778,0.762,-10.391,0.12,0.0495,0.631
46,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Who Stole My Bike,16,100575,0.842,0.217,152.638,0.0,-7.292,0.0902,0.493,0.666
47,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Apapun Dilibas,album,2019-02-06,Jalan Darat (Anti Boring),18,131413,0.919,0.374,117.619,0.000989,-7.617,0.068,0.0674,0.667
48,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Anabastestudineus,24,192354,0.931,0.495,160.01,0.437,-6.942,0.0451,0.0557,0.69
49,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Roman Underground,42,210141,0.965,0.398,139.948,0.367,-5.325,0.0674,0.18,0.354
50,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Memento,15,214877,0.99,0.277,165.141,0.862,-5.263,0.11,0.109,0.0922
51,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Kuning,52,273810,0.861,0.297,145.089,0.895,-6.033,0.0521,0.482,0.263
52,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Jungkir Balik,40,225048,0.991,0.349,166.962,0.15,-6.399,0.0778,0.0602,0.53
53,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Audisi Sebuah Opera,24,225141,0.856,0.526,110.046,0.0148,-5.643,0.0285,0.147,0.922
54,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Dramaturgi Underground,album,2016-11-09,Tersesat Di Antariksa,36,249800,0.956,0.347,165.979,0.884,-6.299,0.0709,0.663,0.338
55,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,180 Derajat,10,247850,0.99,0.473,152.037,4.98e-05,-4.708,0.141,0.344,0.339
56,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Hey Tuan Botimen,21,205729,0.945,0.554,128.132,2.04e-05,-4.31,0.0626,0.399,0.599
57,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Senjakala Cerita,22,365111,0.893,0.327,183.845,0.0102,-5.289,0.0605,0.0849,0.228
58,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Legenda Berbalut Ngeri,16,163329,0.89,0.588,105.093,0.00435,-6.232,0.0557,0.17,0.339
59,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Era Gelap Sirna,16,182230,0.892,0.348,108.03,0.887,-6.608,0.0646,0.459,0.0793
60,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Hujan Kunjungi Kami,16,263500,0.957,0.49,134.057,0.000117,-5.105,0.0646,0.122,0.31
61,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Bocah Cadel Lampu Merah,12,333021,0.671,0.636,110.133,2.05e-06,-7.543,0.0271,0.563,0.258
62,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Berlagak Gila,10,276271,0.946,0.323,144.865,0.0,-4.379,0.103,0.341,0.368
63,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Seka Ingusmu,19,159568,0.968,0.223,182.569,1.12e-05,-5.696,0.313,0.157,0.193
64,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Cerdas Dan Taktis,21,324986,0.929,0.605,117.929,0.000147,-5.255,0.0341,0.345,0.46
65,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']","Hey, Makan Tuh Gitar!",album,2013-10-02,Jalan Darat (Anti Boring),9,142338,0.934,0.616,110.084,0.0,-4.543,0.0667,0.281,0.629
66,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Gadis Suku Pedalaman,24,233825,0.939,0.384,140.041,1.26e-05,-3.235,0.0537,0.118,0.346
67,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Who Stole My Bike,7,116239,0.96,0.553,143.952,0.0,-2.602,0.0551,0.0825,0.913
68,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Tidur Dimanapun Bermimpi Kapanpun,44,251240,0.849,0.496,126.002,0.0,-4.042,0.0367,0.146,0.552
69,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Wahana Jalan Tikus,21,245063,0.468,0.152,97.503,7.26e-06,-4.835,0.033,0.132,0.316
70,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Pilih Sidang Atau Berdamai,22,194212,0.956,0.486,125.036,0.0,-3.99,0.0526,0.0719,0.588
71,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Death Kitchen,6,193701,0.975,0.469,119.974,0.0,-3.391,0.0515,0.333,0.376
72,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Indonesia,album,2011-05-05,Tidur Dimanapun Bermimpi Kapanpun (Akustik),10,243066,0.498,0.613,126.106,0.0,-6.339,0.0261,0.251,0.267
73,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Roman Rafah 2024,single,2024-06-20,Roman Rafah 2024,22,224000,0.912,0.473,134.037,3.88e-06,-7.438,0.0417,0.0941,0.292
74,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Roman Rafah 2024,single,2024-06-20,Planet Berbeda (Acoustic Version),13,238000,0.769,0.546,144.904,0.0,-5.585,0.0283,0.16,0.546
75,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Teleportasi,single,2023-09-13,Teleportasi,28,137000,0.963,0.371,170.057,0.00504,-10.216,0.0812,0.326,0.294
76,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Megah Diterima,single,2022-09-01,Megah Diterima,46,243596,0.867,0.373,145.019,0.0233,-10.334,0.0448,0.374,0.486
77,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Megah Diterima,single,2022-09-01,Plus Tambah,28,221121,0.666,0.349,144.968,0.000228,-11.461,0.0432,0.228,0.22
78,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Binar Wajah Sebaya,single,2020-04-27,Binar Wajah Sebaya,45,274529,0.922,0.477,130.021,0.000154,-6.752,0.0396,0.0917,0.42
79,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Binar Wajah Sebaya,single,2020-04-27,Tiba Tiba Terjadi,29,246208,0.875,0.515,124.983,0.000317,-6.704,0.0391,0.297,0.247
80,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Binar Wajah Sebaya,single,2020-04-27,Bocah Cadel Lampu Merah,32,303937,0.887,0.537,130.01,0.00223,-7.169,0.0276,0.119,0.407
81,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Binar Wajah Sebaya,single,2020-04-27,Planet Berbeda,29,261759,0.915,0.432,134.97,0.0105,-6.341,0.0445,0.209,0.519
82,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Binar Wajah Sebaya,single,2020-04-27,Senjakala Cerita,38,338077,0.904,0.438,91.991,0.0658,-6.922,0.0337,0.435,0.24
83,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Spring Greetings,single,2014-08-09,Inwardly,12,375275,0.819,0.746,127.994,0.0551,-8.945,0.192,0.162,0.0577
84,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Spring Greetings,single,2014-08-09,Kanikul,12,360046,0.606,0.592,127.987,0.841,-9.252,0.0425,0.442,0.136
85,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",SneakerFuzz,single,2014-08-05,Kubikal Rock,24,62973,0.96,0.472,154.963,0.00135,-3.796,0.129,0.059,0.513
86,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",SneakerFuzz,single,2014-08-05,Planet Berbeda,15,258810,0.903,0.373,145.006,0.248,-4.588,0.0581,0.269,0.386
87,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",SneakerFuzz,single,2014-08-05,Tak Punya Ketakutan,10,78716,0.942,0.386,170.224,0.402,-3.714,0.0919,0.339,0.688
88,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",SneakerFuzz,single,2014-08-05,Tiba Tiba Terjadi,34,266054,0.908,0.489,124.979,0.000689,-4.731,0.038,0.231,0.491
89,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",SneakerFuzz,single,2014-08-05,Jam 3 Pagi Di Bundaran,21,86518,0.986,0.21,173.986,0.0238,-3.102,0.0964,0.0466,0.0797
90,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",SneakerFuzz,single,2014-08-05,Rayakan Pemenang,51,247618,0.863,0.38,110.058,0.0,-3.627,0.0462,0.142,0.439
91,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Vacation,single,2014-06-02,A Broken Rhythm,12,352836,0.851,0.721,128.033,0.893,-12.284,0.0464,0.139,0.0582
92,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Vacation,single,2014-06-02,Machinery Rhythm,12,342387,0.532,0.774,129.02,0.939,-15.408,0.131,0.093,0.131
93,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",System Error,single,2014-05-30,Illusory Control,13,366940,0.472,0.77,128.004,0.707,-13.855,0.184,0.185,0.161
94,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",System Error,single,2014-05-30,System Error,12,447692,0.758,0.741,129.985,0.628,-11.737,0.233,0.323,0.168
95,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",The Wknd Sessions Ep. 70: Morfem,single,2013-11-08,Berlagak Gila,16,274271,0.92,0.304,157.5,0.27,-8.424,0.078,0.221,0.434
96,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",The Wknd Sessions Ep. 70: Morfem,single,2013-11-08,180 Derajat,15,270162,0.89,0.265,157.536,0.0,-9.72,0.0568,0.102,0.487
97,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",The Wknd Sessions Ep. 70: Morfem,single,2013-11-08,Senjakala Cerita,14,336856,0.724,0.279,195.932,0.000381,-11.333,0.035,0.0917,0.551
98,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,De Ritmo,0,433668,0.879,0.804,126.005,0.878,-4.874,0.041,0.1,0.405
99,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Zylvo,0,505417,0.673,0.809,126.996,0.93,-9.202,0.0659,0.0765,0.147
100,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,My Little Baby,0,380585,0.498,0.811,125.981,0.891,-9.691,0.169,0.0952,0.324
101,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Cooff,0,535142,0.692,0.8,127.036,0.873,-10.293,0.068,0.0592,0.325
102,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Arena Blanca,0,396191,0.705,0.872,126.003,0.417,-5.992,0.0594,0.463,0.333
103,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Thats's Right,0,497000,0.754,0.796,127.981,0.78,-13.44,0.0622,0.0699,0.165
104,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Vice City,0,540015,0.572,0.959,127.997,0.00706,-6.593,0.317,0.0681,0.0895
105,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Tell Me,0,411875,0.666,0.801,128.011,0.914,-9.331,0.0749,0.081,0.0374
106,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Minimal Perfect Solution,0,472500,0.686,0.711,128.004,0.871,-9.206,0.0508,0.0835,0.166
107,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,I Want the Time,0,542946,0.639,0.673,247.961,0.933,-9.348,0.216,0.104,0.197
108,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,The Woman of the Voice,0,362425,0.554,0.778,128.008,0.841,-12.483,0.126,0.218,0.227
109,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Chemtrail Nº1,0,388000,0.861,0.791,131.999,0.905,-9.053,0.0857,0.133,0.395
110,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Saxo Paradise,0,392000,0.681,0.784,126.977,0.909,-11.023,0.0525,0.0857,0.324
111,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Botanic,0,476250,0.589,0.8,128.006,0.469,-15.6,0.0944,0.184,0.312
112,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Lounge,0,379180,0.722,0.808,126.021,0.928,-9.467,0.118,0.0378,0.719
113,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Three Open Minds,0,396919,0.954,0.804,127.009,0.863,-9.26,0.0603,0.0772,0.811
114,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,El Moganero,0,396855,0.646,0.782,126.991,0.914,-13.88,0.0757,0.126,0.271
115,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Bali,0,380957,0.898,0.727,126.024,0.899,-4.905,0.0426,0.0723,0.501
116,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Calufa,0,427125,0.924,0.796,126.001,0.769,-5.648,0.0549,0.066,0.509
117,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,La Z Ebra,0,398000,0.927,0.829,125.998,0.89,-4.41,0.116,0.043,0.775
118,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Tu Frialdad - Toni G Remix,0,390005,0.735,0.796,128.009,0.745,-8.499,0.0587,0.111,0.374
119,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,After the Blablabla,0,357120,0.685,0.889,125.029,0.434,-7.602,0.0875,0.0461,0.685
120,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Despierta - Profe Remix,0,370560,0.98,0.839,125.029,0.847,-7.02,0.0726,0.0572,0.758
121,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Agarrate a Mi Cintura - Ismael Casimiro Remix,0,359063,0.534,0.801,127.981,0.901,-11.185,0.0665,0.254,0.326
122,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Percussive Groove - Ismael Casimiro Remix,0,313125,0.492,0.821,125.989,0.781,-11.837,0.0846,0.056,0.646
123,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Numbai,0,410625,0.882,0.84,127.027,0.846,-4.681,0.0513,0.061,0.339
124,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Al Capone,0,444500,0.851,0.769,125.984,0.251,-7.221,0.0707,0.0424,0.391
125,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Wannabe,0,370886,0.611,0.805,127.003,0.804,-11.277,0.095,0.053,0.268
126,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,On Me On,0,365714,0.6,0.845,126.014,0.82,-7.879,0.0721,0.625,0.534
127,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Cucurrucucu,0,342857,0.511,0.797,129.678,0.828,-7.406,0.0905,0.0805,0.43
128,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Korotaa,0,410625,0.893,0.772,128.0,0.897,-6.685,0.0539,0.543,0.554
129,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,With Swing,0,461760,0.946,0.841,125.107,0.89,-5.347,0.0971,0.0399,0.754
130,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Jump It,0,367619,0.948,0.771,126.047,0.703,-7.564,0.125,0.0439,0.784
131,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Big Tomy,0,441905,0.513,0.809,126.009,0.848,-10.293,0.0905,0.0588,0.431
132,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Difficult,0,266919,0.796,0.823,127.989,0.862,-6.467,0.065,0.888,0.577
133,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Lights,0,388571,0.721,0.805,126.011,0.913,-9.023,0.0548,0.0629,0.216
134,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,African Black,0,518095,0.916,0.808,126.006,0.699,-8.331,0.0651,0.0541,0.502
135,Morfem,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",Four Years Recordings,compilation,2014-10-10,Que Ritmo,0,414874,0.936,0.702,125.009,0.842,-6.07,0.0573,0.359,0.262
